305.678,244.155,137.74,187.36,124.105,71.961,24.102,13.553,10.952,9,9.35,9.177,9.058,8.11,9.766,10.27
411.17,241.795,206.695,115.95,66.142,21.194,10.372,9.509,7.988,8.061,6.918,7.94,8.611,11.893,9.374,10.916
300.48,163.271,117.15,46.616,37.574,20.366,12.524,10.243,8.64,7.964,8.629,5.75,6.289,9.698,8.925,8.258
354.39,203.58,147.935,99.883,51.542,18.448,10.483,8.511,6.407,6.36,6.784,6.518,6.103,5.711,6.438,6.873
527.94,209.75,152.4,108.58,81.134,21.082,13.557,10.415,9.136,7.549,7.436,6.322,5.882,5.727,7.875,6.647
401.15,311.02,245.14,186.04,108.1,42.263,26.577,18.092,14.292,11.804,10.321,8.688,8.51,8.041,7.945,8.627
401.65,167.368,113.735,67.58,49.106,18.286,9.701,8.16,7.104,7.599,6.718,5.734,6.892,6.78,6.369,5.853
333.92,197.28,158.992,102.455,56.071,20.409,9.892,8.322,6.062,5.89,5.938,5.362,5.466,5.504,5.604,4.046
507.35,213.23,179.909,136.63,74.516,29.984,14.571,9.307,9.952,7.201,8.095,8.588,7.662,8.959,10.154,10.649
422.01,186.472,143.66,111.56,56.363,17.464,8.03,7.001,7.161,6.795,5.48,4.835,4.233,5.315,5.74,4.767
376.39,367.74,330.35,267.095,168.3,81.693,50.09,38.621,30.34,21.311,17.92,20.742,19.092,13.598,12.562,11.198
352.64,256.27,212.177,144.135,109.65,36.305,17.048,9.07,4.415,4.317,2.026,2.5,2.616,3.032,3.99,2.153
352.15,190.708,124.703,83.138,55.163,21.669,12.844,8.83,6.17,5.664,5.229,5.084,5.512,5.519,5.188,6.16
295.11,182.508,160.75,65.99,68.656,23.405,13.752,8.557,8.389,7.872,6.424,8.428,6.008,6.911,6.215,8.878
321.59,186.8,169.95,70.074,64.781,19.509,8.788,6.975,4.718,3.261,3.865,3.795,3.257,3.873,3.195,3.254
344.56,158.067,121.52,92.658,52.355,11.334,4.571,3.129,2.876,3.088,1.059,1.963,1.306,1.455,2.281,1.225
398,211.03,172.146,77.981,75.603,24.206,13.104,9.302,8.17,7.834,7.778,10.686,6.302,8.51,7.8,7.078
344.73,210.54,168.29,97.154,52.835,18.57,11.357,8.508,7.617,6.678,5.579,6.778,5.667,5.544,6.506,6.736
318.49,175.608,150.395,99.905,52.589,18.82,11.751,9.574,8.363,8.567,7.307,7.986,7.384,6.299,7.008,7.516
360.67,236.01,187.68,120.415,69.215,26.959,15.911,10.595,9.229,8.093,6.973,9.848,7.008,6.416,8.339,8.259
362.67,172.063,126.57,89.905,37.48,10.77,8.289,5.61,5.031,6.504,4.614,5.044,4.561,4.595,5.443,6.013
372.72,252.94,192.69,146.16,98.491,31.075,16.071,8.103,5.413,4.963,2.836,2.372,1.242,2.229,1.96,3.104
205.61,155.739,130.335,78.118,67.403,27.956,13.891,10.254,7.63,6.575,5.332,4.952,5.601,5.445,6.443,5.214
355.51,152.003,128.23,73.122,55.036,17.814,12.061,8.587,7.346,6.661,8.895,7.812,7.195,9.319,9.768,8.636
365.164,164.457,147.226,108.02,69.56,23.311,13.374,8.862,8.767,7.431,5.914,5.296,5.466,5.485,8.528,7.487
